Date,Day,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
01-01-2020,Wednesday,0,8961,238,0.026559536,9,3,83,24,7,0,6,0,0,0,0,0,0,109,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02-01-2020,Thursday,5,14964,694,0.046377974,17,2,150,50,28,3,30,0,0,0,0,0,0,414,414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03-01-2020,Friday,0,8749,241,0.027546005,2,0,35,8,11,1,11,0,0,0,0,0,0,173,173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04-01-2020,Saturday,1,8394,158,0.018822969,5,0,29,7,10,0,4,0,0,0,0,0,0,103,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05-01-2020,Sunday,1,7060,165,0.023371105,10,0,40,13,10,0,7,0,0,0,0,0,0,85,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06-01-2020,Monday,3,11122,471,0.042348498,2,0,88,23,56,1,12,0,0,0,0,0,0,290,289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07-01-2020,Tuesday,4,14861,497,0.033443241,6,2,115,30,27,3,9,0,0,0,0,0,0,305,305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08-01-2020,Wednesday,2,10818,251,0.023202071,6,0,47,26,34,0,6,0,0,0,0,0,0,133,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09-01-2020,Thursday,4,11725,412,0.035138593,8,0,63,18,71,0,4,0,0,0,0,0,0,248,248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10-01-2020,Friday,1,7248,166,0.02290287,2,0,20,7,27,0,3,0,0,0,1,0,0,106,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11-01-2020,Saturday,1,7239,154,0.021273657,4,0,23,5,9,0,0,0,0,0,0,0,0,113,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12-01-2020,Sunday,4,9925,254,0.02559194,19,0,117,15,19,0,16,0,0,0,0,0,0,68,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-01-2020,Monday,1,7936,195,0.024571573,9,0,55,19,26,0,11,0,0,0,0,0,0,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-01-2020,Tuesday,2,7988,122,0.015272909,1,0,37,8,11,1,1,0,0,0,0,0,0,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15-01-2020,Wednesday,4,10241,152,0.014842301,5,0,63,10,5,3,3,0,0,0,0,0,0,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16-01-2020,Thursday,2,8143,172,0.021122436,3,1,44,10,5,0,12,0,0,0,0,0,0,99,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-01-2020,Friday,0,5258,70,0.013313047,3,1,7,5,6,0,3,0,0,0,0,0,0,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-01-2020,Saturday,1,7396,181,0.024472688,8,0,34,11,2,0,6,0,0,0,0,0,0,120,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19-01-2020,Sunday,5,13946,146,0.010468952,9,0,65,18,2,2,5,0,0,0,0,0,0,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
